,index,wall,building;edifice,sky,tree,ceiling,road;route,bed,person;individual;someone;somebody;mortal;soul,earth;ground,car;auto;automobile;machine;motorcar,fence;fencing,rock;stone,panoID,date,lat,lon
0,data/img/LsQg80MWT1S5TwsodJQh6Q_270.jpg,0.7339625,0.1801625,0.0669,0.0050708333333333334,0.010825,0.0030791666666666667,,,,,,,LsQg80MWT1S5TwsodJQh6Q,2024-04,55.87459333611236,-4.300782088297249
1,data/img/xmUe0H56R-r-9IgQL08IcA_270.jpg,0.6239541666666667,0.12585416666666666,0.22576666666666667,0.015629166666666666,0.005354166666666667,0.002745833333333333,0.0006958333333333334,,,,,,xmUe0H56R-r-9IgQL08IcA,2024-04,55.8745508557257,-4.30030063113046
2,data/img/PegI2B6q0avOEjK6ICy89Q_0.jpg,0.379325,0.5420875,0.05871666666666667,,,0.007720833333333333,,0.011920833333333334,0.000175,4.5833333333333334e-05,4.166666666666667e-06,4.166666666666667e-06,PegI2B6q0avOEjK6ICy89Q,2024-04,55.87421391608029,-4.296376062807727
